NR.,Audited Smart Contract ,Analyzed,Bytecode/Solidity,Transaction Reordering,,Recrusive Calls,,,Insecure Coding Patterns,,,,Unexpected Ether Flows,Use of untrusted inputs in Security Operations,Additional Info,,
,,,,Transactions may affect Ether Receiver,Transactions May Affects Ether Amount,Gas-dependent Reentrancy,Reentrancy with constant gas,Reentrancy method call,Unchecked Transaction Data Length,Unhandled Exception,Use of Origin instruction,Missing Input Validation,Locked Ether,Use of untrusted Inputs,,,
1,Hacker Gold (HKG),Yes,Bytecode,Yes,Yes,Locked,Locked,Locked,Locked,No,No,Locked,Locked,No,,,
,,Yes,Solidity,Yes,Yes,Locked,Locked,Locked,Locked,No,No,Locked,Locked,No,,,
2,ArcadeCity (ARC),Yes,Bytecode,Yes,Yes,Locked,Locked,Locked,Locked,No,No,Locked,Locked,No,,,
,,Yes,Solidity,Yes,Yes,Locked,Locked,Locked,Locked,No,No,Locked,Locked,No,,,
3,Golem Network,No,Bytecode,,,,,,,,,,,,Compiler error,,
,,No,Solidity,,,,,,,,,,,,Compiler error,,
4,ProjectKudos,No,Bytecode,,,,,,,,,,,,Stuck loading,,
,,No,Solidity,,,,,,,,,,,,Stuck loading,,
5,SuperDAO Promissory,No,Bytecode,,,,,,,,,,,,Stuck loading,,
,,No,Solidity,,,,,,,,,,,,Stuck loading,,
6,ROSCA ,No,Bytecode,,,,,,,,,,,,Compiler error,,
,,No,Solidity,,,,,,,,,,,,Compiler error,,
7,Matchpool GUP,Yes,Bytecode,No,No,Locked,Locked,Locked,Locked,No,No,Locked,Locked,No,,,
,,Yes,Solidity,No,No,Locked,Locked,Locked,Locked,No,No,Locked,Locked,No,,,
8,iEx.ec RLC ,Yes,Bytecode,No,No,Locked,Locked,Locked,Locked,No,No,Locked,Locked,No,,,
,,Yes,Solidity,No,No,Locked,Locked,Locked,Locked,No,No,Locked,Locked,No,,,
9,Cosmos,Yes,Bytecode,Yes,Yes,Locked,Locked,Locked,Locked,No,No,Locked,Locked,No,,,
,,Yes,Solidity,Yes,Yes,Locked,Locked,Locked,Locked,No,No,Locked,Locked,No,,,
10,Blockchain Capital  (BCAP),Yes,Bytecode,No,No,Locked,Locked,Locked,Locked,No,No,Locked,Locked,No,,,
,,Yes,Solidity,No,No,Locked,Locked,Locked,Locked,No,No,Locked,Locked,No,,,
11,WingsDAO,Yes,Bytecode,No,No,Locked,Locked,Locked,Locked,No,No,Locked,Locked,No,,,
,,Yes,Solidity,No,No,Locked,Locked,Locked,Locked,No,No,Locked,Locked,No,,,
12,Moeda,Yes,Bytecode,No,No,Locked,Locked,Locked,Locked,No,No,Locked,Locked,No,,,
,,Yes,Solidity,No,No,Locked,Locked,Locked,Locked,No,No,Locked,Locked,No,,,
13,Basic Attention,Yes,Bytecode,Yes,Yes,Locked,Locked,Locked,Locked,No,No,Locked,Locked,No,,,
,,Yes,Solidity,Yes,Yes,Locked,Locked,Locked,Locked,No,No,Locked,Locked,No,,,
14,Storj,Yes,Bytecode,No,No,Locked,Locked,Locked,Locked,No,No,Locked,Locked,No,,,
,,Yes,Solidity,No,No,Locked,Locked,Locked,Locked,No,No,Locked,Locked,No,,,
15,Metal,Yes,Bytecode,No,No,Locked,Locked,Locked,Locked,No,No,Locked,Locked,No,,,
,,Yes,Solidity,No,No,Locked,Locked,Locked,Locked,No,No,Locked,Locked,No,,,
16,Decentraland MANA,Yes,Bytecode,No,No,Locked,Locked,Locked,Locked,No,No,Locked,Locked,No,,,
,,Yes,Solidity,No,No,Locked,Locked,Locked,Locked,No,No,Locked,Locked,No,,,
17,Tierion,Yes,Bytecode,No,No,Locked,Locked,Locked,Locked,No,No,Locked,Locked,No,,,
,,Yes,Solidity,No,No,Locked,Locked,Locked,Locked,No,No,Locked,Locked,No,,,
18,Kin,Yes,Bytecode,No,No,Locked,Locked,Locked,Locked,No,No,Locked,Locked,No,,,
,,Yes,Solidity,Yes,Yes,Locked,Locked,Locked,Locked,Analysis timeout,No,Locked,Locked,Yes / Block Timestamp,,,
19,Fuel,Yes,Bytecode,No,No,Locked,Locked,Locked,Locked,No,No,Locked,Locked,No,,,
,,Yes,Solidity,No,No,Locked,Locked,Locked,Locked,No,No,Locked,Locked,No,,,
20,Enigma,Yes,Bytecode,No,No,Locked,Locked,Locked,Locked,No,No,Locked,Locked,No,,,
,,Yes,Solidity,No,No,Locked,Locked,Locked,Locked,No,No,Locked,Locked,No,,,
21,Global Messaging,No,Bytecode,,,,,,,,,,,,Compiler error,,
,,No,Solidity,,,,,,,,,,,,Compiler error,,
